2_50_lwr,2_50_upr,2_90_lwr,2_90_upr,50_50_lwr,50_50_upr,50_90_lwr,50_90_upr
4.99545025398103,8.02935358883132,4.99545025398103,8.02935358883132,5.42974437890607,7.46254220024236,5.1930679039046,7.9221390872616
4.74415457278704,8.04483530743698,4.74415457278704,8.04483530743698,5.29996709039068,7.39983709465815,4.9805808121944,7.90936474355396
4.5029690417416,8.06283939012389,4.5029690417416,8.06283939012389,5.18104583537007,7.34262820402461,4.77161064327364,7.898492380449
4.27435646801445,8.08285781846553,4.27435646801445,8.08285781846553,5.0187306938256,7.29226530583009,4.56991952303307,7.89414552766096
4.05682357837194,8.10442638463701,4.05682357837194,8.10442638463701,4.82815473249127,7.24264045595998,4.37966585540477,7.89376465178947
3.84898216368404,8.15578022964467,3.84898216368404,8.15578022964467,4.64391937153954,7.19360592376944,4.19829556192434,7.89590951306701
3.65266470331392,8.22780073773441,3.65266470331392,8.22780073773441,4.46800670854531,7.16430704418644,4.00133270270672,7.9024175553136
3.46477790395901,8.30125324861035,3.46477790395901,8.30125324861035,4.29752559066753,7.19211554522292,3.80928938041624,7.98300232771373
3.28685709435771,8.375843207662,3.28685709435771,8.375843207662,4.13490915296802,7.22177738865343,3.62579459916921,8.06593107764934
3.11667106680526,8.451340418646,3.11667106680526,8.451340418646,3.97834201682957,7.25285329191684,3.45071727193166,8.15092890716653
2.95621916241694,8.52756307306493,2.95621916241694,8.52756307306493,3.82779800467364,7.28506322750229,3.28372074047516,8.2377539697103
2.80391401079688,8.60446928040176,2.80391401079688,8.60446928040176,3.68301952920001,7.31799672971954,3.12447902484834,8.32619245111778
2.65852481788648,8.70892711928366,2.65852481788648,8.70892711928366,3.54375561640671,7.35275043643878,2.97269263862958,8.41688053680059
2.52136741085926,8.8066755663936,2.52136741085926,8.8066755663936,3.40977949635862,7.38645305727267,2.82805250116374,8.5068603392067
2.39119966558743,8.97073228630734,2.39119966558743,8.97073228630734,3.2776561750627,7.42156354511946,2.6903240157076,8.59979617788906
2.26892789319814,9.15409159016531,2.26892789319814,9.15409159016531,3.1436729856751,7.45987259255219,2.55991515069786,8.69839702712096
2.15658294010717,9.37205875345819,2.15658294010717,9.37205875345819,3.01875876404796,7.50861503801997,2.43853650116034,8.81132254699066
2.05644805604362,9.65375356857055,2.05644805604362,9.65375356857055,2.90551175645186,7.57685321581476,2.32827103803547,8.9503218897064
1.95861951625327,10.0184181852658,1.95861951625327,10.0184181852658,2.80558109626878,7.69873829441121,2.23097382367845,9.1335193697181
1.86996659152726,10.4751508179489,1.86996659152726,10.4751508179489,2.71950811971658,7.90761567024401,2.14708408175736,9.40183027707963
1.78911575014183,11.0185229569599,1.78911575014183,11.0185229569599,2.64676217661895,8.1649387157932,2.06633803279311,9.73027279676006
1.71602894777902,11.6353390488524,1.71602894777902,11.6353390488524,2.58664970148254,8.46124830041675,1.98694697334457,10.1168440279653
1.64961025117572,12.3086341630476,1.64961025117572,12.3086341630476,2.53773407166705,8.78382109089307,1.91525254237939,10.6683580696136
1.58854432815465,13.0213854274221,1.58854432815465,13.0213854274221,2.4988624997344,9.12190354011517,1.85031721303022,11.2611518485591
1.53165588873932,13.7596113175294,1.53165588873932,13.7596113175294,2.46958231275403,9.46667068524335,1.79097636211595,11.8861023457699
1.47802047201151,14.5138007174569,1.47802047201151,14.5138007174569,2.44895214285594,9.81170979401997,1.73631450896227,12.5395719523086
1.42686043626451,15.2796612945263,1.42686043626451,15.2796612945263,2.43575784965265,10.1543725676273,1.68544940585576,13.2161261453011
1.3773500170972,16.0530046699594,1.3773500170972,16.0530046699594,2.42940838118347,10.5400804455812,1.63815553952191,13.9176310731059
1.33091665549207,16.8465896702484,1.33091665549207,16.8465896702484,2.43084676640387,10.9328498071384,1.59446133502683,14.651345944959
1.28916945391873,17.7408778412612,1.28916945391873,17.7408778412612,2.43039424849962,11.3412444456319,1.55589159863422,15.4748904254016
1.25815438307773,18.9358690966851,1.25815438307773,18.9358690966851,2.42266799363676,11.8604337837738,1.52709343252576,16.5321481125579
1.24464271076261,20.6920286612588,1.24464271076261,20.6920286612588,2.41966158082192,12.5873373100059,1.5140937813266,18.006652437026
1.25349405848058,23.1973812928511,1.25349405848058,23.1973812928511,2.43659301284487,13.6002592057006,1.52250179323744,20.0162512778105
1.28685939106749,26.5646059751254,1.28685939106749,26.5646059751254,2.47458970517169,14.9469240961611,1.55307073345398,22.666032211364
1.34331460875069,30.8018386090295,1.34331460875069,30.8018386090295,2.53353064025049,16.792400724643,1.60606958680274,25.8905284236892
1.3288727633876,35.858343219226,1.3288727633876,35.858343219226,2.61260720992272,18.9717022734717,1.67984141308011,29.7248500634228
1.31549678158541,41.6774388115881,1.31549678158541,41.6774388115881,2.71182839567314,21.3676667533053,1.77133529447605,34.0870178057664
1.30611809009042,48.1459960685671,1.30611809009042,48.1459960685671,2.83214482414246,23.9243060186676,1.87726029922328,38.9289347715362
1.30048380984841,55.2766718650466,1.30048380984841,55.2766718650466,2.97516755337023,26.662092354545,1.95815191561263,44.2336479135542
1.29822220684742,64.399646272944,1.29822220684742,64.399646272944,3.14276279840192,30.1158685261986,1.99048027434014,50.0081779565653
1.29921188079976,75.2223183979605,1.29921188079976,75.2223183979605,3.3367384161927,34.1845380141867,2.03347166870833,56.6109043259489
1.30369704498304,87.5512830314081,1.30369704498304,87.5512830314081,3.55858872984646,38.6484122543448,2.08260148120263,65.5859237694343
1.31072544251219,101.56302526243,1.31072544251219,101.56302526243,3.80945765790972,43.613820663485,2.13933155588035,75.7612276016622
1.32032016437455,117.449323722726,1.32032016437455,117.449323722726,4.09025351156242,48.8227806028654,2.20060610765478,87.2800647263089
1.3324202762771,135.401678594343,1.3324202762771,135.401678594343,4.40183682806145,54.7741630980732,2.27019947430114,101.724436607732
1.346883276234,155.621359757299,1.346883276234,155.621359757299,4.71617471025473,61.1858155331783,2.34634999423412,118.844894356357
1.36353773447713,178.295080913284,1.36353773447713,178.295080913284,4.97653313571766,68.2050770106771,2.42808878644393,138.461629645801
1.38220689465357,203.608827093325,1.38220689465357,203.608827093325,5.24855295221073,75.898086782547,2.42864625080665,160.828732873968
1.40272150064829,231.697466788882,1.40272150064829,231.697466788882,5.53322761503364,84.2961672826153,2.4257698935287,186.180381606908
1.42492588527057,262.654479539237,1.42492588527057,262.654479539237,5.83025469538257,93.4607930368739,2.42276676134708,214.743244120434
1.44826499862399,296.507485097792,1.44826499862399,296.507485097792,6.13991117857359,103.445763340273,2.41964201666536,246.673748104346
1.45465825420007,333.204784195941,1.45465825420007,333.204784195941,6.4621685514303,114.303180172174,2.41639908370387,282.061124098733
1.43697427508283,372.59884680991,1.43697427508283,372.59884680991,6.80053975885295,126.080060320252,2.41298230743325,320.905665621705
1.42083131937147,414.341707200012,1.42083131937147,414.341707200012,7.15214445533559,138.836833198372,2.40959401924045,363.045175714572
1.40372898329491,461.233323303776,1.40372898329491,461.233323303776,7.51946892007771,152.550347017494,2.40571478024572,408.153899782953
1.38528594934093,510.028941659109,1.38528594934093,510.028941659109,7.89920397749609,167.800245211106,2.39953058630363,455.330375802864
