"2_b_lwr50","2_b_upr50","2_b_lwr90","2_b_upr90"
4.99545025398103,7.83438934376812,4.99545025398103,8.02935358883132
4.74415457278704,7.89133784425815,4.74415457278704,8.04483530743698
4.5029690417416,7.95267268882157,4.5029690417416,8.06283939012389
4.27435646801445,8.01766307932519,4.27435646801445,8.08285781846553
4.05682357837194,8.08557141241778,4.05682357837194,8.10442638463701
3.84898216368404,8.15578022964467,3.84898216368404,8.15578022964467
3.65266470331392,8.22780073773441,3.65266470331392,8.22780073773441
3.46477790395901,8.30125324861035,3.46477790395901,8.30125324861035
3.28685709435771,8.375843207662,3.28685709435771,8.375843207662
3.11667106680526,8.451340418646,3.11667106680526,8.451340418646
2.95621916241694,8.52756307306493,2.95621916241694,8.52756307306493
2.80391401079688,8.60436609078158,2.80391401079688,8.60446928040176
2.65852481788648,8.68215947932941,2.65852481788648,8.70892711928366
2.52136741085926,8.80087935282319,2.52136741085926,8.8066755663936
2.39119966558743,8.97073228630734,2.39119966558743,8.97073228630734
2.26892789319814,9.15409159016531,2.26892789319814,9.15409159016531
2.15658294010717,9.37205875345819,2.15658294010717,9.37205875345819
2.05644805604362,9.65375356857055,2.05644805604362,9.65375356857055
1.96925541438682,10.0184181852658,1.95861951625327,10.0184181852658
1.89434052780763,10.4751508179489,1.86996659152726,10.4751508179489
1.8310804901131,11.0185229569599,1.78911575014183,11.0185229569599
1.77761674668134,11.6353390488524,1.71602894777902,11.6353390488524
1.73187627863098,12.3086341630476,1.64961025117572,12.3086341630476
1.69267851115762,13.0213854274221,1.58854432815465,13.0213854274221
1.65921240776146,13.7596113175294,1.53165588873932,13.7596113175294
1.6308102202143,14.5138007174569,1.47802047201151,14.5138007174569
1.60679101580444,15.2796612945263,1.42686043626451,15.2796612945263
1.58696439358146,16.0530046699594,1.3773500170972,16.0530046699594
1.57223014860046,16.8465896702484,1.33091665549207,16.8465896702484
1.56963366605754,17.7408778412612,1.28916945391873,17.7408778412612
1.58781873897684,18.9358690966851,1.25815438307773,18.9358690966851
1.56779555476235,20.6920286612588,1.24464271076261,20.6920286612588
1.56901515036146,23.1973812928511,1.25349405848058,23.1973812928511
1.5996926930973,26.5646059751254,1.28685939106749,26.5646059751254
1.65454604137503,30.8018386090295,1.34331460875069,30.8018386090295
1.73127319971482,35.858343219226,1.3288727633876,35.858343219226
1.82765425015458,41.6774388115881,1.31549678158541,41.6774388115881
1.93303294232299,48.1459960685671,1.30611809009042,48.1459960685671
1.95815191561263,55.2766718650466,1.30048380984841,55.2766718650466
1.99048027434014,63.1135363808049,1.29822220684742,64.066368052366
2.03347166870833,71.6416832252955,1.29921188079976,74.7338957160699
2.08260148120263,80.9244927534245,1.30369704498304,86.9165655496875
2.13933155588035,91.0204515082194,1.31072544251219,100.784735576846
2.20060610765478,102.00296011263,1.32032016437455,116.50501898499
2.27019947430114,113.950297784985,1.3324202762771,134.230293202532
2.34634999423412,126.897304807059,1.346883276234,154.098996056572
2.42808878644393,140.888513192074,1.36353773447713,176.225488048583
2.42864625080665,156.076190493479,1.38220689465357,200.679943072832
2.4257698935287,172.436722997719,1.40272150064829,227.47901397622
2.42276676134708,190.032266527233,1.42492588527057,256.567133868721
